ts,open,high,low,close,volume
2011-08-18 00:00:00,10.90,10.90,10.90,10.90,0.48990826
2011-08-19 00:00:00,11.85,11.85,11.15,11.69,1.92657814
2011-08-20 00:00:00,11.70,11.70,11.70,11.70,0.08547009
2011-08-21 00:00:00,11.70,11.70,11.70,11.70,0.08547009
2011-08-22 00:00:00,11.70,11.70,11.70,11.70,0.02863249
2011-08-23 00:00:00,11.70,11.70,11.70,11.70,0.00000000
2011-08-24 00:00:00,11.50,11.50,10.50,10.50,2.35652174
2011-08-25 00:00:00,10.00,10.00,10.00,10.00,1.10000000
2011-08-26 00:00:00,10.00,10.00,10.00,10.00,0.00000000
2011-08-27 00:00:00,10.00,10.00,10.00,10.00,0.00000000
2011-08-28 00:00:00,10.00,10.00,10.00,10.00,0.00000000
2011-08-29 00:00:00,10.00,10.00,10.00,10.00,0.00000000
2011-08-30 00:00:00,8.00,8.00,8.00,8.00,1.00000000
2011-08-31 00:00:00,8.00,8.00,8.00,8.00,0.00000000
2011-09-01 00:00:00,8.00,8.31,5.25,8.22,164.48000000
2011-09-02 00:00:00,8.12,8.88,8.00,8.88,79.76000000
2011-09-03 00:00:00,8.88,8.88,8.88,8.88,0.00000000
2011-09-04 00:00:00,8.89,8.89,8.89,8.89,0.20022497
2011-09-05 00:00:00,8.89,8.89,8.89,8.89,0.00000000
2011-09-06 00:00:00,8.00,8.00,8.00,8.00,21.00000000
2011-09-07 00:00:00,8.50,8.50,8.50,8.50,3.00000000
2011-09-08 00:00:00,7.98,7.98,7.40,7.40,6.86000000
2011-09-09 00:00:00,7.40,7.40,7.40,7.40,0.00000000
2011-09-10 00:00:00,7.40,7.40,7.40,7.40,0.00000000
2011-09-11 00:00:00,7.40,7.40,7.40,7.40,0.00000000
2011-09-12 00:00:00,7.40,7.40,7.40,7.40,0.00000000
2011-09-13 00:00:00,5.80,6.00,5.65,5.97,58.37138238
2011-09-14 00:00:00,5.58,5.72,5.52,5.53,61.14598362
2011-09-15 00:00:00,5.12,5.24,5.00,5.13,80.14079520
2011-09-16 00:00:00,4.82,4.87,4.80,4.85,39.91400680
2011-09-17 00:00:00,4.87,4.87,4.87,4.87,0.30000000
2011-09-18 00:00:00,4.87,4.92,4.81,4.92,119.81280000
2011-09-19 00:00:00,4.90,4.90,4.90,4.90,20.00000000
2011-09-20 00:00:00,4.92,5.66,4.92,5.66,89.28071068
2011-09-21 00:00:00,5.70,5.79,5.66,5.66,17.62932238
2011-09-22 00:00:00,5.68,5.72,5.68,5.72,43.77842238
2011-09-23 00:00:00,5.70,5.72,5.70,5.72,20.68003681
2011-09-24 00:00:00,5.70,5.76,5.68,5.68,90.58706633
2011-09-25 00:00:00,6.05,6.05,6.05,6.05,12.22000000
2011-09-26 00:00:00,6.06,6.06,4.80,4.80,39.57846334
2011-09-27 00:00:00,4.85,4.92,4.85,4.92,24.35450000
2011-09-28 00:00:00,4.90,4.91,4.82,4.82,83.05332580
2011-09-29 00:00:00,4.81,4.82,4.81,4.82,46.96450000
2011-09-30 00:00:00,4.82,4.82,4.82,4.82,0.00000000
2011-10-01 00:00:00,4.82,4.82,4.82,4.82,0.00000000
2011-10-02 00:00:00,4.82,4.82,4.82,4.82,0.00000000
2011-10-03 00:00:00,4.85,4.87,4.83,4.87,30.57595000
2011-10-04 00:00:00,4.86,5.30,4.80,4.98,142.52162238
2011-10-05 00:00:00,4.92,6.25,4.80,4.92,113.72000000
2011-10-06 00:00:00,4.88,4.99,4.80,4.80,170.84354937
2011-10-07 00:00:00,4.80,4.81,4.59,4.61,94.64000000
2011-10-08 00:00:00,4.57,4.57,3.99,3.99,56.00000000
2011-10-09 00:00:00,3.89,3.89,3.89,3.89,11.00000000
2011-10-10 00:00:00,3.99,4.51,3.99,4.51,132.50000000
2011-10-11 00:00:00,3.98,4.10,3.98,4.10,78.08000000
2011-10-12 00:00:00,3.95,3.99,3.93,3.93,79.52352500
2011-10-13 00:00:00,3.93,3.97,3.93,3.97,109.62176600
2011-10-14 00:00:00,4.05,4.05,4.05,4.05,96.97751266
2011-10-15 00:00:00,4.05,4.05,4.05,4.05,0.00000000
2011-10-16 00:00:00,4.05,4.05,4.05,4.05,0.00000000
2011-10-17 00:00:00,3.92,3.92,3.92,3.92,10.24000000
2011-10-18 00:00:00,3.92,3.92,3.92,3.92,0.00000000
2011-10-19 00:00:00,3.92,3.92,3.92,3.92,0.00000000
2011-10-20 00:00:00,2.22,2.29,2.22,2.24,61.97233200
2011-10-21 00:00:00,2.22,2.27,2.22,2.27,41.46334066
2011-10-22 00:00:00,2.27,2.27,2.27,2.27,0.00000000
2011-10-23 00:00:00,2.27,2.27,2.27,2.27,0.00000000
2011-10-24 00:00:00,2.99,2.99,2.92,2.92,64.54000000
2011-10-25 00:00:00,2.66,2.72,2.66,2.72,130.29932366
2011-10-26 00:00:00,2.72,3.00,2.67,2.69,268.26897266
2011-10-27 00:00:00,2.69,2.69,2.69,2.69,0.00000000
2011-10-28 00:00:00,3.07,4.36,3.07,4.20,118.37787266
2011-10-29 00:00:00,3.69,4.40,3.69,3.95,88.43242500
2011-10-30 00:00:00,3.85,3.85,3.20,3.50,116.38139500
2011-10-31 00:00:00,3.25,3.55,3.20,3.30,68.99404308
2011-11-01 00:00:00,3.32,3.33,3.32,3.33,38.77712060
2011-11-02 00:00:00,3.33,3.33,3.33,3.33,0.00000000
2011-11-03 00:00:00,3.33,3.33,3.33,3.33,0.00000000
2011-11-04 00:00:00,3.27,3.55,3.21,3.55,117.08103867
2011-11-05 00:00:00,3.21,3.21,3.00,3.00,103.51200000
2011-11-06 00:00:00,2.95,2.95,2.95,2.95,203.38800000
