ts,open,high,low,close,volume
2017-08-16 00:00:00,300.00,300.00,300.00,300.00,0.020000
2017-08-17 00:00:00,315.00,320.00,297.30,301.05,7721.05600479
2017-08-18 00:00:00,300.00,307.50,285.90,293.10,8855.75573207
2017-08-19 00:00:00,293.11,298.29,280.00,289.01,6987.77262938
2017-08-20 00:00:00,289.00,298.60,284.70,298.40,3556.26476689
2017-08-21 00:00:00,297.26,353.00,292.71,319.31,24754.48979057
2017-08-22 00:00:00,319.37,328.80,291.86,312.22,17151.96529224
2017-08-23 00:00:00,313.43,324.68,311.34,315.61,11551.1216036
2017-08-24 00:00:00,315.61,327.49,312.40,323.84,8279.52755141
2017-08-25 00:00:00,323.85,337.22,322.21,329.00,9866.78209119
2017-08-26 00:00:00,329.55,335.12,324.56,332.38,8164.81142142
2017-08-27 00:00:00,332.42,347.55,332.38,347.55,8115.97762703
2017-08-28 00:00:00,347.71,350.29,333.01,346.68,14196.59651634
2017-08-29 00:00:00,346.83,376.55,345.00,372.37,24406.09679048
2017-08-30 00:00:00,372.12,390.68,365.00,383.03,33918.4465685
2017-08-31 00:00:00,383.38,393.00,380.05,388.00,15445.38329735
2017-09-01 00:00:00,387.98,396.00,384.20,390.00,21656.4303218
2017-09-02 00:00:00,390.33,392.45,327.00,351.50,29696.73424378
2017-09-03 00:00:00,351.47,370.20,331.00,350.62,24080.45415912
2017-09-04 00:00:00,350.62,352.16,275.15,300.00,46192.45809245
2017-09-05 00:00:00,302.71,323.76,270.00,316.54,31763.82307242
2017-09-06 00:00:00,316.62,341.60,315.01,337.36,27081.57622229
2017-09-07 00:00:00,337.36,339.89,323.00,335.82,22030.97389679
2017-09-08 00:00:00,335.63,335.63,290.01,305.86,38661.09094919
2017-09-09 00:00:00,305.80,307.96,290.00,303.81,12409.00343127
2017-09-10 00:00:00,303.86,305.98,273.00,298.00,38810.91494963
2017-09-11 00:00:00,298.17,305.99,285.75,297.32,19404.5510051
2017-09-12 00:00:00,297.31,316.50,285.00,293.85,31113.19204216
2017-09-13 00:00:00,293.96,294.31,255.06,275.25,49227.22144466
2017-09-14 00:00:00,275.79,280.68,221.60,223.40,71254.52515182
2017-09-15 00:00:00,223.10,266.00,201.00,257.36,96220.55380527
2017-09-16 00:00:00,257.38,271.34,240.47,253.08,31459.44457569
2017-09-17 00:00:00,253.08,263.88,236.03,257.10,19524.26276482
2017-09-18 00:00:00,257.08,299.91,256.76,298.00,48043.63474988
2017-09-19 00:00:00,298.00,299.69,275.58,282.62,23891.50811787
2017-09-20 00:00:00,283.11,293.02,276.43,283.51,17131.23956029
2017-09-21 00:00:00,283.60,288.04,250.01,258.25,29303.7983277
2017-09-22 00:00:00,258.17,274.00,250.00,262.89,18940.51002368
2017-09-23 00:00:00,263.00,286.28,258.95,285.58,15794.12191307
2017-09-24 00:00:00,285.31,294.22,275.59,283.58,14555.1617993
2017-09-25 00:00:00,283.48,297.53,282.20,294.97,23119.10405932
2017-09-26 00:00:00,294.45,295.30,285.22,288.94,14621.77247701
2017-09-27 00:00:00,288.43,313.00,287.22,310.35,35535.29280781
2017-09-28 00:00:00,310.38,310.96,294.52,302.42,17837.48707232
2017-09-29 00:00:00,302.42,303.59,278.42,291.57,26694.46396589
2017-09-30 00:00:00,291.65,304.76,283.00,301.35,12088.50954253
2017-10-01 00:00:00,300.99,303.06,286.16,302.92,8878.18362142
2017-10-02 00:00:00,301.24,303.06,290.60,296.97,12389.09696617
2017-10-03 00:00:00,296.13,299.40,286.12,292.21,9777.24144635
2017-10-04 00:00:00,291.82,295.56,288.25,291.79,5064.3495738
2017-10-05 00:00:00,291.40,297.50,286.50,294.61,8857.34592349
2017-10-06 00:00:00,294.60,308.80,292.71,307.52,11383.77355072
2017-10-07 00:00:00,307.52,314.43,301.00,311.00,7447.76466495
2017-10-08 00:00:00,311.00,313.90,307.01,308.65,9729.24569975
2017-10-09 00:00:00,308.63,309.75,285.00,295.94,25098.30939102
2017-10-10 00:00:00,296.80,304.99,291.00,298.06,9936.99644291
2017-10-11 00:00:00,298.98,304.43,297.00,303.25,8729.10742425
2017-10-12 00:00:00,303.07,308.47,299.01,302.71,23629.26855501
2017-10-13 00:00:00,302.71,348.48,295.76,336.87,47912.99499012
2017-10-14 00:00:00,337.41,346.69,333.02,338.04,16447.95673139
2017-10-15 00:00:00,338.02,341.35,315.70,335.21,14621.63092177
2017-10-16 00:00:00,335.26,350.96,330.60,333.59,23137.62269907
2017-10-17 00:00:00,334.03,335.10,310.22,316.60,20244.1571521
2017-10-18 00:00:00,315.82,316.10,287.08,314.10,25956.80551115
2017-10-19 00:00:00,314.10,316.75,304.31,308.17,13266.9724963
2017-10-20 00:00:00,307.50,312.01,301.00,302.40,12534.62189067
2017-10-21 00:00:00,302.82,303.98,290.34,299.10,24630.17933761
2017-10-22 00:00:00,299.58,305.57,289.49,294.07,14826.73222447
2017-10-23 00:00:00,293.71,293.71,271.54,285.03,24123.5690505
2017-10-24 00:00:00,283.93,312.62,277.06,297.13,21543.71429682
2017-10-25 00:00:00,297.37,301.78,289.21,296.57,6865.55079154
2017-10-26 00:00:00,296.32,301.44,293.45,295.63,6495.999273
2017-10-27 00:00:00,295.43,299.49,292.00,296.23,5263.07588639
2017-10-28 00:00:00,296.23,297.90,291.75,293.25,5953.23551042
2017-10-29 00:00:00,293.78,311.00,292.97,303.59,12533.33952386
2017-10-30 00:00:00,303.02,310.99,303.00,306.60,8536.32402483
2017-10-31 00:00:00,306.60,310.40,301.28,303.26,13135.66930374
2017-11-01 00:00:00,303.25,306.25,287.00,289.07,14890.80828958
2017-11-02 00:00:00,289.05,293.12,275.00,284.83,30397.49366984
2017-11-03 00:00:00,284.79,309.42,282.24,305.28,25663.39957272
2017-11-04 00:00:00,305.30,306.90,292.00,300.55,8940.19614641
2017-11-05 00:00:00,300.73,301.46,294.03,294.60,5955.28560611
2017-11-06 00:00:00,295.72,304.48,291.50,296.62,19377.80677147
2017-11-07 00:00:00,297.33,306.23,284.01,292.79,30525.1415652
2017-11-08 00:00:00,292.52,321.99,291.06,307.88,32524.21168874
2017-11-09 00:00:00,307.88,331.70,306.50,321.32,31581.09654972
2017-11-10 00:00:00,320.18,325.61,291.00,298.66,34590.34843978
2017-11-11 00:00:00,298.65,322.19,298.00,315.76,23901.1130984
2017-11-12 00:00:00,315.29,318.98,300.11,306.10,48405.90567305
2017-11-13 00:00:00,306.11,320.69,305.91,316.14,36675.53656373
2017-11-14 00:00:00,315.81,340.99,314.95,335.54,48769.56525487
2017-11-15 00:00:00,335.54,340.00,323.19,331.88,27052.55090428
2017-11-16 00:00:00,332.44,335.16,321.00,329.91,34360.47747172
2017-11-17 00:00:00,330.88,334.86,325.00,331.25,24845.11826143
2017-11-18 00:00:00,331.20,349.31,326.30,346.96,26074.43356319
2017-11-19 00:00:00,346.96,372.00,344.01,354.48,32139.68458712
2017-11-20 00:00:00,354.49,372.88,350.00,366.00,28170.70037594
2017-11-21 00:00:00,367.52,372.94,345.52,359.60,51145.16929592
2017-11-22 00:00:00,359.93,383.94,358.33,380.88,34942.54547529
2017-11-23 00:00:00,381.78,426.04,370.11,406.75,77408.69415541
2017-11-24 00:00:00,406.75,478.99,395.00,471.17,84954.02729429
2017-11-25 00:00:00,470.73,483.00,451.00,463.00,31084.17084751
2017-11-26 00:00:00,461.89,472.76,438.09,467.00,29143.13609488
2017-11-27 00:00:00,468.99,487.00,456.24,474.67,53900.59365283
2017-11-28 00:00:00,474.21,478.15,457.61,464.95,49678.06856814
2017-11-29 00:00:00,464.10,519.23,403.00,423.90,129280.99805873
2017-11-30 00:00:00,424.00,455.99,388.00,435.09,59144.71280639
2017-12-01 00:00:00,435.00,469.40,415.16,460.30,30626.87441244
2017-12-02 00:00:00,459.60,472.32,447.00,456.04,23203.04203086
2017-12-03 00:00:00,456.06,482.80,441.02,463.00,33041.91584327
2017-12-04 00:00:00,463.00,473.90,446.20,467.83,31067.36127569
2017-12-05 00:00:00,467.83,471.90,450.49,455.76,22812.03047721
2017-12-06 00:00:00,453.71,459.85,405.88,415.83,50979.87361894
2017-12-07 00:00:00,417.09,436.42,400.00,411.03,50448.60557102
2017-12-08 00:00:00,411.38,454.85,391.00,440.27,58296.62632362
2017-12-09 00:00:00,441.58,497.99,430.20,456.38,49940.3503449
2017-12-10 00:00:00,456.41,459.44,401.33,425.07,29510.02802742
2017-12-11 00:00:00,421.17,505.00,421.17,503.47,44543.4473361
2017-12-12 00:00:00,500.90,645.55,487.00,620.59,104502.62988733
2017-12-13 00:00:00,622.42,742.23,585.00,694.50,127713.16912867
2017-12-14 00:00:00,694.50,745.00,647.50,689.69,89396.17077403
2017-12-15 00:00:00,689.82,692.50,601.13,676.36,54771.22414446
2017-12-16 00:00:00,676.37,711.77,665.50,684.00,23905.71516979
2017-12-17 00:00:00,683.98,726.00,683.06,706.91,27771.4217425
2017-12-18 00:00:00,709.96,800.39,671.56,787.28,57460.07555452
2017-12-19 00:00:00,786.98,870.00,772.91,817.72,87098.12962617
2017-12-20 00:00:00,816.98,833.67,721.02,797.10,81483.01657849
2017-12-21 00:00:00,799.91,842.73,752.00,783.80,75451.39348008
2017-12-22 00:00:00,786.99,792.50,501.00,669.36,163195.8047693
2017-12-23 00:00:00,670.11,755.00,649.57,699.86,40879.14344014
2017-12-24 00:00:00,702.83,704.93,604.19,686.96,45120.39316201
2017-12-25 00:00:00,691.72,750.00,684.00,724.00,42706.02483995
2017-12-26 00:00:00,724.98,765.00,716.70,751.09,24164.54087125
2017-12-27 00:00:00,751.10,770.00,704.54,738.78,53760.84887956
2017-12-28 00:00:00,738.73,739.80,666.00,717.23,40099.34231731
2017-12-29 00:00:00,719.89,758.00,709.00,732.67,44816.84091656
2017-12-30 00:00:00,733.05,740.72,659.06,698.46,59596.87471713
2017-12-31 00:00:00,698.45,759.08,687.03,743.48,24771.962541
2018-01-01 00:00:00,743.50,768.87,722.02,752.78,29181.94175805
2018-01-02 00:00:00,754.50,888.00,754.50,858.60,67628.4884339
2018-01-03 00:00:00,858.60,950.00,850.00,940.40,57117.2088194
2018-01-04 00:00:00,938.09,999.91,895.52,940.00,77160.74368814
2018-01-05 00:00:00,940.49,1022.00,924.69,966.00,52023.54146674
2018-01-06 00:00:00,967.46,1009.22,950.01,1004.27,29967.35739899
2018-01-07 00:00:00,1004.25,1118.72,1000.00,1117.96,47293.11325527
2018-01-08 00:00:00,1116.96,1229.76,964.00,1130.00,109474.64428074
2018-01-09 00:00:00,1135.94,1301.00,1115.00,1287.47,102885.3832567
2018-01-10 00:00:00,1287.45,1378.99,1187.96,1240.48,96347.51361575
2018-01-11 00:00:00,1247.79,1334.33,1100.00,1135.00,95639.75436083
2018-01-12 00:00:00,1139.45,1288.34,1080.59,1258.68,46451.21395109
2018-01-13 00:00:00,1258.68,1420.00,1256.00,1384.78,41803.410045
2018-01-14 00:00:00,1381.52,1389.00,1265.00,1359.59,35328.24387125
2018-01-15 00:00:00,1359.59,1379.00,1269.00,1276.71,33997.65406904
2018-01-16 00:00:00,1272.66,1281.16,862.11,1057.88,127923.04522706
2018-01-17 00:00:00,1057.88,1109.58,761.61,1029.22,179200.00301695
2018-01-18 00:00:00,1029.22,1105.00,951.12,1024.69,96056.33730588
2018-01-19 00:00:00,1024.66,1095.00,995.01,1036.03,49838.56906755
2018-01-20 00:00:00,1039.83,1171.00,1036.03,1150.00,31922.40626022
2018-01-21 00:00:00,1149.99,1151.00,1008.00,1049.09,37050.56478962
2018-01-22 00:00:00,1052.35,1092.00,917.00,997.21,48389.73439174
2018-01-23 00:00:00,999.29,1024.98,905.00,983.70,61938.02964865
2018-01-24 00:00:00,987.56,1069.65,957.69,1065.00,44493.76299656
2018-01-25 00:00:00,1064.84,1105.00,1014.48,1050.00,62196.24467522
2018-01-26 00:00:00,1049.92,1075.90,984.00,1051.81,39359.62218118
2018-01-27 00:00:00,1051.92,1126.01,1034.45,1115.51,29317.95416435
2018-01-28 00:00:00,1115.15,1240.00,1099.76,1229.41,29175.41570382
2018-01-29 00:00:00,1229.97,1239.00,1141.00,1168.00,40475.91316314
2018-01-30 00:00:00,1168.00,1172.00,1025.77,1051.54,61847.15177457
2018-01-31 00:00:00,1054.55,1118.88,1010.77,1110.14,34149.46526721
2018-02-01 00:00:00,1110.14,1152.05,936.00,1022.08,92033.54931148
2018-02-02 00:00:00,1020.16,1020.16,731.00,918.39,184904.2375942
2018-02-03 00:00:00,918.38,995.00,838.67,969.93,27592.48525909
2018-02-04 00:00:00,969.96,969.96,782.00,826.51,37124.17772738
2018-02-05 00:00:00,825.13,855.00,632.00,692.36,128779.91437638
2018-02-06 00:00:00,692.38,808.00,565.00,784.01,157935.74997721
2018-02-07 00:00:00,788.13,866.05,720.01,752.89,75081.12515266
2018-02-08 00:00:00,753.95,846.28,748.42,812.01,40467.31905615
2018-02-09 00:00:00,814.32,883.07,780.88,875.10,40273.37266013
2018-02-10 00:00:00,879.86,913.30,815.00,851.83,32319.24474698
2018-02-11 00:00:00,851.84,855.19,775.99,809.69,25362.85834689
2018-02-12 00:00:00,811.00,877.95,808.52,865.57,23687.08996852
2018-02-13 00:00:00,866.86,869.14,819.31,841.82,24840.28203477
2018-02-14 00:00:00,841.82,924.52,839.75,922.98,43648.22139283
2018-02-15 00:00:00,922.98,951.25,905.00,927.91,41358.45209566
2018-02-16 00:00:00,927.50,947.87,908.00,940.00,23773.48259549
2018-02-17 00:00:00,940.87,980.00,935.25,977.74,20558.71352157
2018-02-18 00:00:00,977.55,983.31,905.52,912.85,28492.25011204
2018-02-19 00:00:00,913.42,955.58,906.00,938.05,14832.72496155
2018-02-20 00:00:00,939.28,958.74,874.00,884.24,25435.7651672
2018-02-21 00:00:00,884.25,906.09,816.00,837.98,34498.7100109
2018-02-22 00:00:00,840.07,871.81,789.99,803.57,26905.04775256
2018-02-23 00:00:00,805.08,883.44,787.00,851.98,20669.20061454
2018-02-24 00:00:00,852.50,878.00,809.01,835.74,11028.28615971
2018-02-25 00:00:00,835.74,851.38,818.38,842.65,8988.89175788
2018-02-26 00:00:00,842.82,880.00,834.77,868.40,15603.01471496
2018-02-27 00:00:00,868.46,896.00,861.00,870.32,14062.01044208
2018-02-28 00:00:00,870.32,889.85,848.46,850.16,15701.07118509
2018-03-01 00:00:00,851.92,881.47,845.81,869.01,16063.60146239
2018-03-02 00:00:00,869.02,875.17,847.93,856.08,7584.52267756
2018-03-03 00:00:00,856.33,868.70,849.00,853.76,5600.73438238
2018-03-04 00:00:00,853.74,866.43,837.17,862.28,5387.93325666
2018-03-05 00:00:00,864.06,869.21,848.00,848.00,8662.0750727
2018-03-06 00:00:00,848.00,850.99,802.55,813.09,18233.70688199
2018-03-07 00:00:00,813.08,825.61,723.13,750.42,41014.66545032
2018-03-08 00:00:00,750.11,773.12,686.50,698.06,32177.19834154
2018-03-09 00:00:00,698.06,732.31,640.55,726.13,53099.97795875
2018-03-10 00:00:00,726.22,750.00,676.21,682.87,14417.56859471
2018-03-11 00:00:00,681.07,737.14,662.48,720.38,17188.71184635
2018-03-12 00:00:00,720.45,740.70,676.00,695.50,25021.99173026
2018-03-13 00:00:00,696.16,715.00,680.00,690.01,27159.25072985
2018-03-14 00:00:00,690.99,703.51,584.00,613.07,38834.71600113
2018-03-15 00:00:00,612.00,620.00,571.56,611.02,44548.02980151
2018-03-16 00:00:00,611.97,625.51,583.40,599.87,30596.64676458
2018-03-17 00:00:00,598.56,610.00,542.75,550.10,21796.89056428
2018-03-18 00:00:00,550.10,561.52,453.01,538.00,79232.21946554
2018-03-19 00:00:00,538.00,559.00,515.47,555.68,50383.27337299
2018-03-20 00:00:00,555.52,567.49,515.38,557.41,41228.06969702
2018-03-21 00:00:00,557.49,590.69,545.00,560.52,42065.0195497
2018-03-22 00:00:00,559.80,578.58,517.45,540.12,29000.27740787
2018-03-23 00:00:00,538.56,543.20,506.00,543.03,26831.19056619
2018-03-24 00:00:00,543.10,545.55,518.66,519.99,16223.12245645
2018-03-25 00:00:00,519.99,535.68,512.59,521.99,13946.26421917
2018-03-26 00:00:00,522.98,525.55,466.72,485.79,46310.08502564
2018-03-27 00:00:00,485.40,492.09,445.08,449.41,51374.77451027
2018-03-28 00:00:00,449.89,465.85,440.00,446.49,22678.77835928
2018-03-29 00:00:00,446.60,448.50,378.86,383.07,78007.79044041
2018-03-30 00:00:00,383.14,411.41,362.00,393.46,92799.41264709
2018-03-31 00:00:00,393.85,419.70,387.85,393.79,37134.69014104
2018-04-01 00:00:00,393.58,399.78,358.40,378.00,40341.4561116
2018-04-02 00:00:00,378.06,395.00,375.02,384.47,20485.05431078
2018-04-03 00:00:00,384.86,419.08,380.00,415.32,31371.19291848
2018-04-04 00:00:00,415.34,417.50,370.49,378.99,31337.17766325
2018-04-05 00:00:00,377.26,387.49,366.95,381.05,20729.04746148
2018-04-06 00:00:00,381.04,385.62,360.00,370.08,18493.15152416
2018-04-07 00:00:00,369.44,397.40,368.99,384.66,16411.9803586
2018-04-08 00:00:00,384.94,410.00,384.14,400.23,11317.65828092
2018-04-09 00:00:00,400.07,431.36,386.19,399.00,26518.22407379
2018-04-10 00:00:00,399.36,418.30,391.28,415.65,25139.02556088
2018-04-11 00:00:00,415.34,433.46,411.00,430.00,21763.24759008
2018-04-12 00:00:00,430.00,498.00,413.80,494.31,48431.8565614
2018-04-13 00:00:00,494.00,529.36,481.67,495.95,57808.72981674
2018-04-14 00:00:00,496.07,515.91,486.00,503.41,18199.93290903
2018-04-15 00:00:00,503.14,535.00,503.14,533.83,29650.64692715
2018-04-16 00:00:00,533.86,537.43,498.34,510.57,28988.80985825
2018-04-17 00:00:00,511.26,521.36,500.54,502.80,22085.38840903
2018-04-18 00:00:00,502.51,526.66,501.28,525.20,23073.92878812
2018-04-19 00:00:00,524.32,569.00,520.20,566.46,31732.09135449
2018-04-20 00:00:00,566.66,622.26,556.37,617.70,52187.09367312
2018-04-21 00:00:00,616.41,624.75,573.58,604.85,36398.72934912
2018-04-22 00:00:00,604.85,643.46,591.31,621.50,30537.80430922
2018-04-23 00:00:00,620.45,648.24,618.56,643.77,24226.71423821
2018-04-24 00:00:00,643.68,711.70,643.68,703.71,54671.05933027
2018-04-25 00:00:00,703.32,704.01,595.00,617.02,112502.46041843
2018-04-26 00:00:00,617.61,666.00,598.15,660.95,49649.48314536
2018-04-27 00:00:00,661.04,685.00,636.15,642.54,29571.03844725
2018-04-28 00:00:00,642.57,697.08,639.05,683.38,24553.16567192
2018-04-29 00:00:00,683.69,699.97,666.00,689.23,22215.9477286
2018-04-30 00:00:00,689.38,694.14,663.00,669.98,23810.05539947
2018-05-01 00:00:00,670.10,674.01,627.22,669.86,36528.64307637
2018-05-02 00:00:00,670.98,690.05,661.03,687.29,27719.04017901
2018-05-03 00:00:00,687.00,785.00,684.89,776.92,54001.97551789
2018-05-04 00:00:00,776.92,803.99,758.10,782.47,30244.06114711
2018-05-05 00:00:00,782.09,830.00,778.03,815.45,16170.22388774
2018-05-06 00:00:00,815.45,832.37,749.00,787.42,30945.16955144
2018-05-07 00:00:00,787.42,791.00,691.99,751.18,53733.47077041
2018-05-08 00:00:00,751.85,775.11,716.00,747.92,37843.37938254
2018-05-09 00:00:00,746.86,759.90,710.01,749.58,35051.91917605
2018-05-10 00:00:00,749.77,766.99,720.00,723.60,29806.87639084
2018-05-11 00:00:00,723.25,735.68,662.57,677.26,50671.74810801
2018-05-12 00:00:00,677.38,692.70,638.15,683.99,31181.08053943
2018-05-13 00:00:00,684.68,741.61,668.78,730.06,31210.25843894
2018-05-14 00:00:00,730.36,743.00,686.63,727.62,43957.93350823
2018-05-15 00:00:00,727.00,739.37,695.74,707.38,30116.82621356
2018-05-16 00:00:00,704.76,712.00,674.57,706.88,24194.53618145
2018-05-17 00:00:00,706.56,718.90,660.65,669.04,35431.74057107
2018-05-18 00:00:00,668.70,694.96,656.36,692.54,23002.3304532
2018-05-19 00:00:00,693.99,716.93,683.00,695.88,12333.28966847
2018-05-20 00:00:00,694.99,723.16,687.89,716.00,10793.90692589
2018-05-21 00:00:00,716.00,720.00,687.80,696.43,13978.12151726
2018-05-22 00:00:00,698.09,699.57,637.93,640.86,30230.00404481
2018-05-23 00:00:00,640.56,649.89,564.94,576.84,67508.31101726
